G	H	Q	l	l(F_4)	l(F_2)	dim(Lambda)	dim(Gamma)	d(G)	d(Q)	second	GB
13	14	(32, 7)	6	6	4	27	21	2	2	1.6	0.89
65	70	(32, 28)	2	2	2	9	8	3	3	14.4	2.17
105	104	(16, 6)	4	4	4	23	8	3	2	2.2	0.9
142	155	(8, 4)	3	3	2	15	6	3	2	10.4	0.48
142	157	(8, 4)	3	3	2	15	6	3	2	10.6	0.48
155	157	(16, 8)	7	7	7	47	14	3	2	18.5	3.49
156	158	(16, 9)	7	7	7	47	14	3	2	15.9	2.93
160	156	(16, 8)	7	7	7	47	14	3	2	19.2	3.6
160	158	(16, 9)	7	7	7	47	14	3	2	17.0	3.65
167	173	(32, 34)	3	3	2	15	15	3	3	9.6	0.66
167	176	(32, 34)	3	3	2	15	15	3	3	10.1	0.97
176	173	(16, 8)	7	7	7	47	14	3	2	10822.9	4.11
168	179	(8, 4)	3	3	2	15	6	3	2	2.0	0.58
168	180	(8, 4)	3	3	2	15	6	3	2	1.7	0.59
180	179	(16, 8)	7	7	7	47	14	3	2	945.8	3.74
172	182	(8, 4)	3	3	2	15	6	3	2	1.9	0.52
175	181	(8, 4)	3	3	2	15	6	3	2	1.8	0.67
239	238	(16, 13)	2	NA	2	12	7	4	3	11.7	7.11
